tag,total pct of presence,pct of presence in 2017,pct of presence in 2018
khaki-shirt,0.24,0.23,0.24
khaki-skirt,0.24,0.46,0.1
lingerie-top,0.24,0.46,0.1
retro-knit,0.24,0.23,0.24
over-corset,0.24,0.46,0.1
yellow-coat,0.24,0.08,0.34
yellow-pants,0.24,0.3,0.2
polka-dot-skirt,0.24,0.08,0.34
check-shirt,0.24,0.0,0.39
keyhole-neckline,0.24,0.0,0.39
bucket-hat,0.24,0.0,0.39
veil,0.24,0.53,0.05
socks-in-sandals,0.24,0.08,0.34
socks,0.24,0.08,0.34
strappy-sandals,0.24,0.0,0.39
dusty-pink,0.21,0.3,0.15
denim-skirt,0.21,0.38,0.1
navy-blue-skirt,0.21,0.23,0.2
suede,0.21,0.46,0.05
box-pleats,0.21,0.15,0.24
pink-jumper,0.21,0.15,0.24
religious,0.21,0.53,0.0
embellished-knit,0.21,0.38,0.1
leather-coat,0.21,0.38,0.1
fringed-skirt,0.21,0.15,0.24
white-jumpsuit,0.21,0.15,0.24
turtleneck-dress,0.21,0.53,0.0
knit-threads,0.21,0.0,0.34
total-silver,0.21,0.15,0.24
england,0.21,0.15,0.24
green-shirt,0.21,0.0,0.34
big-cuff,0.21,0.0,0.34
baroque,0.21,0.38,0.1
workwear,0.21,0.23,0.2
hand,0.21,0.0,0.34
suit-pants,0.21,0.0,0.34
fluffy,0.21,0.08,0.29
hickory-stripes,0.21,0.38,0.1
rounded-shoulders,0.21,0.08,0.29
shorts-suit,0.21,0.0,0.34
total-oversize-look,0.21,0.0,0.34
bolero,0.21,0.0,0.34
total-grey,0.21,0.0,0.34
flounced-skirt,0.21,0.3,0.15
gypsy,0.21,0.0,0.34
fold,0.21,0.0,0.34
headband,0.21,0.15,0.24
beret,0.21,0.0,0.34
godet-skirt,0.18,0.46,0.0
pocket-jacket,0.18,0.23,0.15
round-sunglasses,0.18,0.46,0.0
dressing-gown,0.18,0.15,0.2
dominatrix,0.18,0.46,0.0
pleated-dress,0.18,0.3,0.1
sequin-skirt,0.18,0.23,0.15
total-navy-blue,0.18,0.15,0.2
robot,0.18,0.3,0.1
raglan-sleeve,0.18,0.23,0.15
mao-collar,0.18,0.08,0.24
yellow-jacket,0.18,0.08,0.24
uneven-polka-dots,0.18,0.46,0.0
spain,0.18,0.23,0.15
fruit,0.18,0.08,0.24
ethnic,0.18,0.0,0.29
polka-dot-jacket,0.18,0.0,0.29
total-polka-dot,0.18,0.0,0.29
sci-fi,0.18,0.08,0.24
tie-dye,0.18,0.0,0.29
jabot,0.18,0.0,0.29
silver-jacket,0.18,0.08,0.24
hip-hop,0.18,0.0,0.29
denim-dress,0.18,0.3,0.1
lace-skirt,0.18,0.15,0.2
graphic-knit,0.18,0.08,0.24
patchwork-knit,0.18,0.15,0.2
pastel-tailoring,0.18,0.0,0.29
sailor,0.18,0.0,0.29
orange-shirt,0.18,0.0,0.29
low-waist-skirt,0.18,0.0,0.29
short-sleeved-jacket,0.18,0.0,0.29
lining,0.18,0.0,0.29
1940,0.18,0.0,0.29
puffer,0.18,0.08,0.24
shoulder-flap,0.18,0.0,0.29
kimono,0.18,0.08,0.24
khaki-coat,0.18,0.15,0.2
silver-skirt,0.18,0.23,0.15
boy-scout,0.18,0.0,0.29
catsuit,0.18,0.0,0.29
turquoise,0.15,0.23,0.1
light-grey,0.15,0.15,0.15
animal-jewelry,0.15,0.38,0.0
khaki-jacket,0.15,0.23,0.1
knotted-strap,0.15,0.3,0.05
leather-skirt,0.15,0.15,0.15
dickey,0.15,0.08,0.2
mousseline,0.15,0.08,0.2
fringed-pants,0.15,0.38,0.0
detective,0.15,0.08,0.2
cowboy,0.15,0.15,0.15
beige-suit,0.15,0.08,0.2
floral-top,0.15,0.3,0.05
oversize-tailoring,0.15,0.08,0.2
baseball,0.15,0.23,0.1
gilet,0.15,0.15,0.15
coloured-denim,0.15,0.15,0.15
slit-sleeves,0.15,0.15,0.15
polka-dot-shirt,0.15,0.08,0.2
space,0.15,0.15,0.15
sequin-jacket,0.15,0.0,0.24
1920,0.15,0.08,0.2
fitted-denim,0.15,0.15,0.15
beige-jumper,0.15,0.23,0.1
brown-pants,0.15,0.15,0.15
preppy,0.15,0.0,0.24
landscape,0.15,0.08,0.2
tuxedo,0.15,0.0,0.24
bikini,0.15,0.0,0.24
tiger,0.15,0.0,0.24
yellow-shirt,0.15,0.15,0.15
grey-shorts,0.15,0.0,0.24
legging-under,0.15,0.0,0.24
braces,0.15,0.3,0.05
scalloped,0.15,0.3,0.05
choker,0.15,0.38,0.0
tights,0.15,0.08,0.2
grey-jumpsuit,0.12,0.15,0.1
etiquette,0.12,0.23,0.05
orange-coat,0.12,0.23,0.05
utility-jumpsuit,0.12,0.23,0.05
black-blazer,0.12,0.08,0.15
button-front-skirt,0.12,0.08,0.15
total-lilac,0.12,0.08,0.15
blue-jumpsuit,0.12,0.3,0.0
yellow-jumper,0.12,0.08,0.15
one-shoulder,0.12,0.15,0.1
purple-skirt,0.12,0.08,0.15
bow-tie,0.12,0.23,0.05
bleached-denim,0.12,0.23,0.05
harem-pants,0.12,0.23,0.05
waistcoat,0.12,0.23,0.05
teddy,0.12,0.23,0.05
long-fringes,0.12,0.0,0.2
yellow-shorts,0.12,0.0,0.2
