tag,total pct of presence,pct of presence in 2017,pct of presence in 2018,Absolute change,Relative change
guipur,0.68,0.99,0.49,-0.5,-50.51
high-necked-top,0.65,1.14,0.34,-0.8,-70.18
crossed-coat,0.65,0.46,0.78,0.32,69.57
zebra,0.65,0.99,0.44,-0.55,-55.56
japan,0.65,0.61,0.68,0.07,11.48
orange-skirt,0.65,0.68,0.64,-0.04,-5.88
sand,0.65,0.08,1.03,0.95,1187.5
bag,0.65,0.53,0.73,0.2,37.74
roses,0.63,0.76,0.54,-0.22,-28.95
ladylike,0.63,0.15,0.93,0.78,520.0
blue-denim,0.63,1.22,0.24,-0.98,-80.33
total-pink,0.63,0.23,0.88,0.65,282.61
fluid-pants,0.63,0.15,0.93,0.78,520.0
contrasted-stitch,0.63,1.22,0.24,-0.98,-80.33
tunic,0.63,1.29,0.2,-1.09,-84.5
patterned-knit,0.63,0.08,0.98,0.9,1125.0
ivory,0.63,0.61,0.64,0.03,4.92
logo-sweatshirt,0.63,0.15,0.93,0.78,520.0
contoured-body,0.6,0.84,0.44,-0.4,-47.62
thin-straps-on-long-sleeves,0.6,0.53,0.64,0.11,20.75
military,0.6,0.76,0.49,-0.27,-35.53
palazzo-pants,0.6,0.53,0.64,0.11,20.75
amish,0.6,0.84,0.44,-0.4,-47.62
rural,0.6,0.3,0.78,0.48,160.0
parka,0.6,0.53,0.64,0.11,20.75
lightweight-windbreaker,0.6,0.38,0.73,0.35,92.11
colourful-tailoring,0.6,0.53,0.64,0.11,20.75
green-jacket,0.6,0.08,0.93,0.85,1062.5
beige-jacket,0.6,0.0,0.98,0.98,inf
headscarf,0.6,0.08,0.93,0.85,1062.5
gothic,0.57,0.46,0.64,0.18,39.13
colourful-leather,0.57,0.76,0.44,-0.32,-42.11
athletic,0.57,0.99,0.29,-0.7,-70.71
frayed-bottom,0.57,0.61,0.54,-0.07,-11.48
widow,0.57,0.15,0.83,0.68,453.33
tweed,0.57,0.84,0.39,-0.45,-53.57
mini-skirt-suit,0.57,0.46,0.64,0.18,39.13
tracksuit,0.57,0.08,0.88,0.8,1000.0
pink-coat,0.57,0.61,0.54,-0.07,-11.48
cable-knit,0.57,0.68,0.49,-0.19,-27.94
safari,0.57,0.76,0.44,-0.32,-42.11
chunky-knit,0.57,0.46,0.64,0.18,39.13
smocks,0.57,0.15,0.83,0.68,453.33
jewel-embellishment,0.57,0.15,0.83,0.68,453.33
black-suit,0.57,0.38,0.68,0.3,78.95
zigzag,0.57,1.14,0.2,-0.94,-82.46
knit-skirt,0.57,0.08,0.88,0.8,1000.0
boudoir,0.57,0.0,0.93,0.93,inf
piercing,0.57,0.76,0.44,-0.32,-42.11
shark-collar,0.57,0.0,0.93,0.93,inf
skater-dress,0.54,0.68,0.44,-0.24,-35.29
cut-out-knit,0.54,0.46,0.59,0.13,28.26
floral-shirt,0.54,0.53,0.54,0.01,1.89
army,0.54,0.76,0.39,-0.37,-48.68
sleeveless-jacket,0.54,0.3,0.68,0.38,126.67
embellished-collar,0.54,0.08,0.83,0.75,937.5
steep,0.54,0.38,0.64,0.26,68.42
bohemian,0.54,0.38,0.64,0.26,68.42
floral-jacket,0.54,0.76,0.39,-0.37,-48.68
grunge,0.54,1.29,0.05,-1.24,-96.12
silver-dress,0.54,0.23,0.73,0.5,217.39
earthy-tones,0.54,0.0,0.88,0.88,inf
fine-knit,0.54,0.46,0.59,0.13,28.26
beige-shirt,0.54,0.08,0.83,0.75,937.5
red-shirt,0.51,0.23,0.68,0.45,195.65
pagoda-sleeve,0.51,1.06,0.15,-0.91,-85.85
total-yellow,0.51,0.46,0.54,0.08,17.39
kitsch,0.51,1.14,0.1,-1.04,-91.23
1980,0.51,0.61,0.44,-0.17,-27.87
claudine,0.51,0.68,0.39,-0.29,-42.65
floral-mix,0.51,0.23,0.68,0.45,195.65
olive,0.51,0.76,0.34,-0.42,-55.26
green-skirt,0.51,0.53,0.49,-0.04,-7.55
lurex,0.51,1.29,0.0,-1.29,-100.0
embellished-denim,0.51,0.91,0.24,-0.67,-73.63
3d,0.51,0.76,0.34,-0.42,-55.26
hole,0.51,0.38,0.59,0.21,55.26
high-low-hem,0.51,0.0,0.83,0.83,inf
organza,0.51,0.0,0.83,0.83,inf
childish,0.51,0.0,0.83,0.83,inf
multicolored-stripes,0.51,0.08,0.78,0.7,875.0
short-sleeved-shirt,0.51,0.3,0.64,0.34,113.33
jacquard,0.51,0.15,0.73,0.58,386.67
trapeze-skirt,0.51,0.23,0.68,0.45,195.65
prince-of-wales,0.48,1.22,0.0,-1.22,-100.0
floral-transparency,0.48,0.61,0.39,-0.22,-36.07
graffiti,0.48,0.91,0.2,-0.71,-78.02
dance,0.48,1.06,0.1,-0.96,-90.57
conceptual,0.48,1.22,0.0,-1.22,-100.0
degrade,0.48,0.68,0.34,-0.34,-50.0
paperbag,0.48,0.46,0.49,0.03,6.52
bird,0.48,0.68,0.34,-0.34,-50.0
heart,0.48,0.53,0.44,-0.09,-16.98
sweater-dress,0.48,0.23,0.64,0.41,178.26
oversize-knit,0.48,0.23,0.64,0.41,178.26
floral-pants,0.48,0.68,0.34,-0.34,-50.0
mustard,0.48,0.61,0.39,-0.22,-36.07
chiffon,0.48,0.0,0.78,0.78,inf
silver-pants,0.48,0.61,0.39,-0.22,-36.07
red-coat,0.48,0.08,0.73,0.65,812.5
bra-as-top,0.48,0.0,0.78,0.78,inf
menswear-shirting,0.48,0.0,0.78,0.78,inf
sandals,0.48,0.08,0.73,0.65,812.5
orange-jacket,0.45,0.53,0.39,-0.14,-26.42
pink-shirt,0.45,0.46,0.44,-0.02,-4.35
black-jumper,0.45,0.15,0.64,0.49,326.67
navy-blue-jacket,0.45,0.23,0.59,0.36,156.52
blacktie,0.45,0.76,0.24,-0.52,-68.42
punk,0.45,0.53,0.39,-0.14,-26.42
green-pants,0.45,0.08,0.68,0.6,750.0
train,0.45,0.23,0.59,0.36,156.52
chambray,0.45,1.14,0.0,-1.14,-100.0
androgynous,0.45,0.0,0.73,0.73,inf
black-white-polka-dot,0.45,0.0,0.73,0.73,inf
biker,0.42,0.91,0.1,-0.81,-89.01
light-blue-denim,0.42,0.76,0.2,-0.56,-73.68
blue-jumper,0.42,0.15,0.59,0.44,293.33
floral-coat,0.42,0.08,0.64,0.56,700.0
mini-floral,0.42,0.38,0.44,0.06,15.79
raw-denim,0.42,0.68,0.24,-0.44,-64.71
