slug,look,type,season,designer,city,models,keywords
68375,31,woman,spring-summer-2018,roksanda,london,['ana-maria-figueroa'],"['dress', 'long-dress', 'fitted', 'evening-wear', 'red-carpet', 'embellishment', 'black', 'black-dress', 'blacktie', 'gathers', 'fluid-dress', 'fluid', 'monochrome', 'floral', 'floral-on-dark-background', 'total-black']"
67917,16,woman,spring-summer-2018,versus-versace,london,['ana-maria-figueroa'],"['black', 'top', 'high-necked', 'sleeveless', 'transparent', 'stitch', 'corset', 'high-waist', 'highwaist-skirt', 'mini-skirt', 'fluo', 'skirt', 'black-skirt', 'girly', 'evening-wear', 'party', '1990', 'trapeze-skirt', 'high-necked-top', 'contoured-body', 'belt-over']"
67330,5,woman,spring-summer-2018,jw-anderson,london,['ana-maria-figueroa'],"['yellow', 'black', 'satin', 'asymmetrical', 'top', 'dress', 'asymmetrical-dress', 'bow', 'metallic', 'fluid', 'stitch', 'bicolour', 'sleeveless', 'light-yellow', 'short-hair', 'contoured-body']"
19723,18,woman,spring-summer-2017,house-of-holland,london,['angelica-erthal'],"['fishnet', 'floral', 'dress', 'ruffle', 'pattern', 'nature', 'tropical', 'floral-on-dark-background', 'floral-dress', 'mesh', 'tiered-dress', 'frill', 'spaghetti-strap', 'silver', 'floral-mix']"
19707,3,woman,spring-summer-2017,house-of-holland,london,['angelica-erthal'],"['crop-top', 'bustier', 'gingham', 'orange', 'purple', 'pants', 'teenager', 'girly', 'doll', 'babydoll', 'check', 'one-pattern-all-over', 'flare-pants', 'off-the-shoulder', 'extra-long-pants', 'bold-colours']"
68564,13,woman,spring-summer-2018,emilia-wickstead,london,['ana-arto'],"['pink', 'light-pink', 'dress', 'pink-dress', 'coat-dress', 'bow', 'button', 'long-dress', 'bra', 'gathers', 'girly', 'high-necked', 'doll', 'victorian', 'barbie', 'long-sleeves', 'brown-hair']"
68588,37,woman,spring-summer-2018,emilia-wickstead,london,['ana-arto'],"['powder-pink', 'pink', 'short-sleeves', 'balloon-sleeves', 'top', 'round-neck', 'pastel-sorbet', 'high-waist', 'highwaist-pants', 'pink-pants', 'pants', 'cropped-pants', 'total-look', 'evening-wear', 'doll', 'brown-hair']"
68371,27,woman,spring-summer-2018,roksanda,london,['ana-arto'],"['satin', 'doll', 'princess', 'statement-sleeves', 'extra-long-sleeves', 'flounced-sleeves', 'dress', 'long-dress', 'gathers', 'fluid-dress', 'fluid', 'pink', 'light-pink', 'powder-pink', 'baroque', 'pleats', 'pink-dress', 'evening-wear', 'satin-dress', 'brown-hair']"
67666,4,woman,spring-summer-2018,halpern,london,['ana-arto'],"['suit', 'light-blue', 'floral', 'blue-suit', 'jacket', 'floral-jacket', 'blue-jacket', 'pants', 'blue-pants', 'floral-pants', 'brocard', 'floral-on-light-background', 'slit', 'extra-long-pants', 'embroidery', 'tapestry', 'total-look', '1970', 'extra-long-sleeves', 'long-sleeves', 'colourful-tailoring', 'slit-pants', 'total-floral', 'crossed-jacket', 'one-pattern-all-over', 'brown-hair']"
68288,40,woman,spring-summer-2018,margaret-howell,london,['ana-arto'],"['pinstripe', 'shirt', 'black', 'black-shirt', 'skirt', 'black-skirt', 'mini-skirt', 'navy-blue', 'navy-blue-jacket', 'jacket', 'office-wear', 'androgynous', 'brown-hair']"
68257,9,woman,spring-summer-2018,margaret-howell,london,['ana-arto'],"['office-wear', 'black', 'shirt', 'black-shirt', 'short-sleeves', 'black-pants', 'pants', 'trouser-cuff', 'minimal', 'monochrome', 'highwaist-pants', 'high-waist', 'short-sleeved-shirt', 'total-black', 'brown-hair']"
19691,19,woman,spring-summer-2017,versus-versace,london,['adwoa-aboah'],"['dress', 'short-dress', 'bicolour', 'sleeveless', 'circus', 'blue-dress', 'blue', 'khaki', 'leather', 'skater-dress', 'panelled']"
67916,15,woman,spring-summer-2018,versus-versace,london,['adwoa-aboah'],"['black', 'shirt', 'black-shirt', 'dress', 'black-dress', 'mini-dress', 'fishnet', 'swimsuit', 'monochrome', 'seaside', 'beach', 'layer', 'urban', 'total-black', 'black-head-to-toe']"
94941,1,woman,spring-summer-2018,burberry,london,['adwoa-aboah'],"['multicolour', 'graffiti', 'art', 'abstract', 'jumper', 'hoodie', 'pink-jumper', 'oversize', 'white-skirt', 'skirt', 'stripes', 'multicolored-stripes', 'vertical-stripes', 'long-skirt', 'urban', 'activist', 'total-oversize-look', 'rainbow', 'short-hair']"
95011,71,woman,spring-summer-2018,burberry,london,['alexander-brady'],"['multicolour', 'pants', 'activist', 'multicolour', 'colour-block', 'puffer', 'urban', 'red', 'bold-colours', 'sport', 'sweatpants', 'logo', 'wide-leg-oversize-pants', 'red-pants', 'oversize', 'total-oversize-look', 'rainbow', 'man']"
68560,9,woman,spring-summer-2018,emilia-wickstead,london,['anna-hagood'],"['light-blue', 'blue', 'dress', 'blue-dress', 'high-necked', 'short-sleeves', 'ribbon', 'fluid-dress', 'fluid', 'delicate', 'doll', 'pastel-sorbet', 'victorian', 'high-necked-dress']"
68037,6,woman,spring-summer-2018,chalayan,london,['anna-hagood'],"['white-shirt', 'shirt', 'grey', 'grey-pants', 'masculine', 'asymmetrical', 'office-wear', 'white', 'pants', 'black', 'long-sleeves', 'panelled']"
68072,41,woman,spring-summer-2018,chalayan,london,['anna-hagood'],"['black-white', 'dress', 'architecture', 'white', 'black', 'floral', 'print', 'geometric', 'strass', 'fluid', 'fluid-dress', 'long-dress', 'evening-wear', 'pattern', 'floral-dress', 'head-accessory']"
67780,19,woman,spring-summer-2018,preen-by-thornton-bregazzi,london,['anna-hagood'],"['knot', 'linen', 'lilac', 'deconstructed', 'dress', 'asymmetrical', 'dress-on-pants', 'pants', 'extra-long-pants', 'pleats', 'wide-leg-oversize-pants', 'asymmetrical-dress', 'monochrome', 'top', 'collar', 'long-sleeves', 'total-pink', 'high-necked-dress', 'total-monochrome-look']"
